,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PIK3R5,8.46906164852039e-36,0.268791430704028,0.256,0.1,2.18408630853692e-31,15,PIK3R5
GTF2I2,8.5015707421771e-36,0.4113131757793,0.46,0.237,2.19247007870005e-31,15,GTF2I
CSNK2B1,9.49430594073475e-36,0.420819274940642,0.532,0.298,2.44848655905608e-31,15,CSNK2B
PCBP21,9.86983651348847e-36,0.438405883102341,0.816,0.661,2.54533213846354e-31,15,PCBP2
POLR2G2,1.05863559305683e-35,0.351327230197022,0.45,0.224,2.73011533093425e-31,15,POLR2G
CCM2,1.22330563211919e-35,0.459553986291414,0.537,0.307,3.15478289467219e-31,15,CCM2
FLII1,1.26144526437056e-35,0.291703768398144,0.271,0.111,3.25314119228523e-31,15,FLII
HPCAL1,1.27370002035334e-35,0.333837177672403,0.367,0.171,3.28474498248924e-31,15,HPCAL1
HLA-DPB11,1.2956876260177e-35,0.479607299369537,0.495,0.273,3.34144881873704e-31,15,HLA-DPB1
NDUFB51,1.39842951232403e-35,0.349897937072536,0.476,0.247,3.60640986933244e-31,15,NDUFB5
RBBP41,2.27401141551267e-35,0.350398157269225,0.424,0.209,5.86444803946563e-31,15,RBBP4
GCHFR1,3.8391024339842e-35,0.334253839115365,0.349,0.159,9.90066126700186e-31,15,GCHFR
NDUFS31,4.71531590976137e-35,0.28594155980548,0.363,0.165,1.21603281996836e-30,15,NDUFS3
EVI2A,4.95752016753216e-35,0.33548151058236,0.348,0.158,1.27849487600487e-30,15,EVI2A
LAMTOR21,5.68134160410419e-35,0.354834310582662,0.416,0.204,1.46516118628243e-30,15,LAMTOR2
CAP11,5.88412714426862e-35,0.50636259772182,0.639,0.431,1.51745754923544e-30,15,CAP1
CD96,7.42116346689974e-35,0.440421625726782,0.552,0.309,1.91384384647877e-30,15,CD96
PSMB102,9.05378523927422e-35,0.449999552049774,0.62,0.395,2.33488067535643e-30,15,PSMB10
TRAPPC51,1.00445735302945e-34,0.434941781539034,0.637,0.394,2.59039506772766e-30,15,TRAPPC5
STK38,1.02197653662651e-34,0.34463190862003,0.383,0.182,2.63557529030612e-30,15,STK38
HDAC11,1.07642568265897e-34,0.410550312287429,0.479,0.257,2.77599419300921e-30,15,HDAC1
PRKCQ,1.08881385667914e-34,0.301646944937559,0.309,0.135,2.80794205498984e-30,15,PRKCQ
ATP5MC31,1.31537105343364e-34,0.492459466231048,0.707,0.524,3.39221040970001e-30,15,ATP5MC3
C9orf162,1.42314484738369e-34,0.4571613351951,0.742,0.558,3.67014824691779e-30,15,C9orf16
EAPP,1.61678208682301e-34,0.43395937312113,0.537,0.302,4.16951932370786e-30,15,EAPP
GTF3A1,1.64064705996809e-34,0.508916676155837,0.808,0.636,4.23106470295171e-30,15,GTF3A
TIPRL1,1.7434409430157e-34,0.304508243752804,0.328,0.146,4.49615984794318e-30,15,TIPRL
SVBP,2.81040748320129e-34,0.28886295764718,0.309,0.134,7.24775985842781e-30,15,SVBP
MX11,2.87158974297781e-34,0.469592142291769,0.264,0.113,7.40554278816548e-30,15,MX1
RAC11,4.4573556196023e-34,0.442540142619872,0.636,0.409,1.14950744073924e-29,15,RAC1
COX6B11,5.42456872676729e-34,0.4672381415788,0.776,0.659,1.39894202894602e-29,15,COX6B1
SUMO11,5.84326026433273e-34,0.405064093629314,0.655,0.427,1.50691838956877e-29,15,SUMO1
PSMB41,7.06777778646532e-34,0.402318742661358,0.518,0.285,1.82270921335154e-29,15,PSMB4
DOCK11,7.98087271257106e-34,0.321311381023438,0.357,0.166,2.05818726384495e-29,15,DOCK11
OAZ11,8.3766186650531e-34,0.370210646774425,0.916,0.873,2.16024618753055e-29,15,OAZ1
TRAF3IP3,1.13257870373499e-33,0.435659003711524,0.774,0.604,2.92080721906216e-29,15,TRAF3IP3
MRPL511,1.87777719175188e-33,0.422302901152774,0.463,0.255,4.84259959980892e-29,15,MRPL51
NDUFA71,2.24990159753458e-33,0.352907182113966,0.425,0.215,5.80227122988192e-29,15,NDUFA7
LRRFIP11,3.85435945995418e-33,0.461795270578625,0.771,0.59,9.94000761127583e-29,15,LRRFIP1
UBE2A1,4.16347359676478e-33,0.308632893330013,0.309,0.137,1.07371820586967e-28,15,UBE2A
PTPRE,4.3318752030381e-33,0.268155822502512,0.258,0.105,1.1171472961115e-28,15,PTPRE
BZW2,4.46508055138331e-33,0.2676929308995,0.271,0.114,1.15149962339624e-28,15,BZW2
VASP2,4.50528816916749e-33,0.360957450625262,0.505,0.276,1.1618687659466e-28,15,VASP
TECPR1,5.3990227520222e-33,0.323207208299289,0.27,0.115,1.392353977519e-28,15,TECPR1
ZNRD11,8.18349910830907e-33,0.295428773755634,0.384,0.185,2.11044258504183e-28,15,ZNRD1
TPM42,1.09087832705321e-32,0.436159233522516,0.419,0.221,2.81326611763753e-28,15,TPM4
RSU1,1.36576675130575e-32,0.271165186892997,0.291,0.126,3.52217587494241e-28,15,RSU1
FKBP31,1.44576888941773e-32,0.284634625579188,0.386,0.185,3.72849338891938e-28,15,FKBP3
CFL12,1.55919904739014e-32,0.442287247583772,0.956,0.934,4.02101842331443e-28,15,CFL1
COX161,1.69306911402814e-32,0.359178347186666,0.471,0.249,4.36625593816716e-28,15,COX16
H2AFY2,3.31763956987859e-32,0.408444083458704,0.473,0.261,8.5558606867599e-28,15,H2AFY
SMARCE11,3.34530835152244e-32,0.372406509439197,0.491,0.269,8.62721570774122e-28,15,SMARCE1
